symptoms,dosha,num_symptoms,mixed
restlessness weakness depression mood swings touch sensitivity sciatica,vata,5,
excessive sleep obesity early periods slow digestion cold limbs aversion to heat,kapha,6,True
slow speech fluid retention nausea after eating edema weight gain allergies cold limbs,kapha,7,
skin inflammation yellow complexion abscesses,pitta,3,
cancer tumor,no_match,1,
boils ulcers irritability eczema conjunctivitis,pitta,5,
spinal cord injury,no_match,1,
red blood ulcers premature graying acidity cannot skip meals gallbladder problems heavy periods hot flashes,pitta,8,
sweating sour taste baldness sharp hunger skin rashes,pitta,5,
high cholesterol asthma difficulty waking heaviness loyal nature,kapha,5,
fear low blood pressure weight loss light sensitivity dry skin abdominal pain cracking joints stiffness,vata,8,
nose bleeding sweating yellow eyes heartburn,pitta,4,
oily skin low blood pressure oversleeping white discharge cysts sweet taste mouth,kapha,6,
wrinkles impatience brittle nails,vata,3,True
phlegm procrastination cold skin craving sweets regular appetite,kapha,5,
monotone voice pneumonia bronchitis cough with mucus,kapha,4,
slow pulse low body temperature pale skin hypothyroid weight gain,kapha,5,
impotence cold hands feet irregular heartbeat talkativeness insomnia convulsions thin body,vata,7,
sweating gallbladder problems jaundice hot flashes criticism skin inflammation hives,pitta,7,
yellow urine conjunctivitis impatience excessive heat hepatitis eye strain migraine sharp hunger,pitta,8,
irregular heartbeat rough skin arthritis,vata,3,
hives anger jaundice acidity visual disturbances,pitta,5,
fractured skull,no_match,1,
migraine burning sensation hypertension premature graying muscle twitches dizziness insomnia,pitta,7,True
sinus congestion oily skin,kapha,2,
nervousness memory loss rough skin dry cough fatigue fainting fear irregular digestion,vata,8,
excess saliva heaviness,kapha,2,
noise sensitivity epilepsy anxiety premature aging worry fainting,vata,6,
spinal cord injury typhoid bacteria,no_match,2,
diabetes hypothyroid insomnia dry cough post nasal drip,kapha,5,True
irregular digestion gas formation,vata,2,
tension headache ulcers,pitta,2,
thick hair dry skin heaviness cracking joints,vata,4,True
bleeding gums yellow eyes sweating visual disturbances eye strain irritability heavy periods,pitta,7,
post nasal drip calm disposition good memory lethargy,kapha,4,
perfectionism criticism body odor impatience liver disorders conjunctivitis diarrhea yellow urine,pitta,8,
fractured skull sports injury nerve damage,no_match,3,
photophobia fever gallbladder problems yellow eyes psoriasis eye strain red complexion criticism,pitta,8,
thick white coating tongue greed thick hair high cholesterol,kapha,4,
craving sweets weight gain oversleeping slow movements runny nose,kapha,5,
fainting confusion touch sensitivity impotence irregular heartbeat rough skin,vata,6,
arthritis irregular digestion hoarse voice confusion weakness dizziness,vata,6,
metallic taste diarrhea body odor sharp hunger,pitta,4,
slow speech cold extremities tumors good memory greed nausea after eating congestion bronchitis,kapha,8,
low body temperature sinus congestion cold skin obesity fluid retention bronchitis,kapha,6,
yellow complexion worry irregular menstruation acne painful periods dry hair nose bleeding,vata,7,True
diarrhea premature graying aversion to heat gallbladder problems vomiting bile red eyes,pitta,6,
swelling tumors mental fog,kapha,3,
pale skin slow speech post nasal drip cold limbs heaviness slow pulse white discharge,kapha,7,
greed hepatitis feeling cold,kapha,3,True
migraine hepatitis acidity thirst jealousy early periods hypertension,pitta,7,
nose bleeding night sweats,pitta,2,
fainting epilepsy,vata,2,
photophobia hepatitis migraine red eyes burning sensation heavy periods visual disturbances hyperacidity,pitta,8,
inflammation acidity,pitta,2,
dizziness dry hair,vata,2,
low body temperature phlegm slow movements yellow complexion excessive heat,kapha,5,True
nausea perfectionism craving cold drinks diarrhea bitter taste jaundice photophobia,pitta,7,
bloating exhaustion,vata,2,
exhaustion depression mood swings,vata,2,
insomnia convulsions light sensitivity cold hands feet muscle twitches,vata,5,
memory loss gas formation infertility light sensitivity noise sensitivity scanty urination fainting,vata,7,
loyal nature pneumonia excessive sleep post nasal drip,kapha,4,
chemotherapy side effects typhoid bacteria,no_match,2,
trembling weakness convulsions dry hair infertility palpitations dizziness hoarse voice,vata,8,
arthritis fear nervousness dry vagina scanty urination worry weakness,vata,7,
eye strain jaundice liver disorders nausea,pitta,4,
cold limbs cysts depression phlegm edema slow movements runny nose,kapha,7,
weight loss light sensitivity weakness memory loss,vata,4,
confusion thick hair fear,vata,3,True
sluggishness hypothyroid nose bleeding red blood excessive sleep premature graying,pitta,6,True
thick hair nausea after eating oily hair congestion,kapha,4,
painful periods confusion gas formation,vata,3,
brittle nails weakness premature aging worry,vata,4,
gallbladder problems red complexion migraine body odor acidity,pitta,5,
delayed periods mental fog bronchitis dullness possessiveness fluid retention,kapha,6,
joint pain dry vagina irregular menstruation rapid speech,vata,4,
slow speech baldness attachment phlegm oversleeping nausea after eating hepatitis,kapha,7,True
nervousness hoarse voice irregular menstruation,vata,3,
dullness large pores excess saliva slow healing,kapha,4,
conjunctivitis jaundice acidity thirst gallbladder problems,pitta,5,
hot flashes hypothyroid excessive heat,kapha,3,True
low blood pressure irregular menstruation fear noise sensitivity,vata,4,
skin rashes jealousy pale skin high cholesterol body odor abscesses burning sensation,pitta,7,True
noise sensitivity infertility irregular menstruation cold hands feet touch sensitivity hyperactivity muscle twitches worry,vata,8,
calm disposition procrastination tumors sinus congestion,kapha,4,
oversleeping boils large pores high cholesterol acne,kapha,5,True
slow healing thick hair low blood pressure slow speech monotone voice cold extremities lethargy slow pulse,kapha,8,
cold limbs allergies swelling thick hair lethargy bronchitis,kapha,6,
skin inflammation inflammation fever aversion to heat premature graying body odor red eyes bitter taste,pitta,8,
nausea after eating slow comprehension daytime sleepiness heavy periods weight gain bronchitis,kapha,6,
brittle nails insomnia fatigue stiffness dry cough,vata,5,
hyperactivity convulsions brittle nails,vata,3,
asthma possessiveness swelling low blood pressure lack motivation slow metabolism pale skin,kapha,7,
painful periods heartburn eczema,pitta,3,True
stroke gunshot wound,no_match,2,
hypothyroid good memory,kapha,2,
tumors post nasal drip swelling mental fog slow comprehension obesity craving dairy,kapha,7,
delayed periods runny nose,kapha,2,
hoarse voice dry skin touch sensitivity dizziness,vata,4,
influenza fever nerve damage cancer tumor,no_match,3,
phlegm allergies slow comprehension depression pneumonia tumors,kapha,6,
inflammation heavy periods anxiety,vata,3,True
slow metabolism cold skin hypothyroid post nasal drip thick white coating tongue,kapha,5,
fluid retention allergies infertility fainting thick hair,kapha,5,True
jaundice gallbladder problems,pitta,2,
weight loss convulsions rough skin insomnia abdominal pain trembling fainting,vata,7,
convulsions sour taste acne liver disorders abdominal pain night sweats,pitta,6,True
dry skin cold hands feet,vata,2,
monotone voice cough with mucus phlegm hypothyroid weight gain regular appetite slow speech greed,kapha,8,
broken bone torn ligament,no_match,2,
dry cough bloating,vata,2,
psoriasis vomiting bile excessive appetite,pitta,3,
excess mucus oily hair thick white coating tongue slow digestion dullness difficulty waking good memory cold skin,kapha,8,
joint pain premature ejaculation abdominal pain depression mood swings low blood pressure,vata,5,
yellow complexion eczema yellow eyes jaundice vomiting bile,pitta,5,
conjunctivitis eye strain nose bleeding anger nausea red blood excessive appetite,pitta,7,
phlegm pale skin hypothyroid large pores excess saliva,kapha,5,
infection hyperacidity sweating conjunctivitis heavy periods criticism photophobia hypertension,pitta,8,
baldness excessive appetite sharp hunger craving cold drinks bleeding gums jaundice abscesses nausea,pitta,8,
daytime sleepiness sinus congestion slow movements low blood pressure cysts loyal nature nausea after eating,kapha,7,
oily hair conjunctivitis slow pulse,kapha,3,True
vomiting bile excessive urination conjunctivitis hot flashes,pitta,4,
cancer tumor broken bone,no_match,2,
low blood pressure heaviness difficulty waking runny nose heavy periods slow pulse,kapha,6,
monotone voice cold extremities,kapha,2,
infertility painful periods,vata,2,
hot flashes irritability anger heartburn red eyes thirst early periods vomiting bile,pitta,8,
gallbladder problems brittle nails memory loss,vata,3,True
light sensitivity weakness infertility tension headache night sweats,vata,5,True
baldness thirst acne hyperacidity liver disorders anger hives inflammation,pitta,8,
irregular appetite joint pain,vata,2,
irritability excessive appetite sweating premature graying acidity,pitta,5,
excessive appetite nausea early periods red eyes,pitta,4,
lack motivation large pores nausea after eating sweet taste mouth slow comprehension depression excess mucus,kapha,7,
typhoid bacteria,no_match,1,
low body temperature obesity convulsions fatigue irregular heartbeat,vata,5,True
epilepsy touch sensitivity scanty urination,vata,3,
tension headache red blood metallic taste excessive heat ulcers perfectionism aversion to heat,pitta,7,
heavy periods premature graying excessive heat visual disturbances thirst burning sensation,pitta,6,
fainting heaviness impotence pale skin,vata,4,True
irregular appetite epilepsy brittle nails dizziness rough skin stiffness cracking joints,vata,7,
dislocated shoulder kidney stones nerve damage,no_match,3,
chemotherapy side effects typhoid bacteria heart attack,no_match,3,
oily hair weight loss large pores joint pain,vata,4,True
gunshot wound typhoid bacteria broken bone,no_match,3,
fever excessive heat perfectionism hepatitis,pitta,4,
red eyes infection sweating yellow eyes photophobia perfectionism sour taste,pitta,7,
cough with mucus sluggishness nausea after eating,kapha,3,
wrinkles cracking joints,vata,2,
light sensitivity hoarse voice rapid speech dry cough,vata,4,
dizziness joint pain light sensitivity irregular digestion,vata,4,
red complexion jealousy psoriasis red eyes loose stools,pitta,5,
body odor infection thirst craving cold drinks stye eye strain,pitta,6,
cancer tumor chemotherapy side effects,no_match,2,
sciatica premature aging nervousness exhaustion anxiety irregular digestion dizziness,vata,7,
scanty urination fatigue rapid speech depression mood swings,vata,4,
gas formation cold extremities hoarse voice,vata,3,True
regular appetite delayed periods craving dairy excess mucus thick hair large pores,kapha,6,
irregular appetite irregular digestion joint pain dizziness thin body irregular heartbeat anxiety weakness,vata,8,
painful periods fear,vata,2,
baldness vomiting bile heavy periods yellow complexion fever night sweats body odor premature graying,pitta,8,
allergies acidity sour taste,kapha,3,True
infertility brittle nails light sensitivity,vata,3,
bleeding gums impatience premature aging depression mood swings,vata,4,True
feeling cold monotone voice weight gain low blood pressure oily skin oversleeping,kapha,6,
psoriasis excessive heat,pitta,2,
dislocated shoulder,no_match,1,
fear irregular appetite dry skin gas formation trembling depression mood swings dry hair,vata,7,
metallic taste premature ejaculation hypertension low blood pressure excessive heat noise sensitivity,pitta,6,True
hoarse voice hyperacidity bleeding gums insomnia joint pain irregular heartbeat early periods,vata,7,True
baldness psoriasis hypothyroid excessive urination slow comprehension hypertension,pitta,6,True
burning sensation hyperactivity muscle twitches sharp hunger,vata,4,True
craving sweets low blood pressure thick hair daytime sleepiness,kapha,4,
sweet taste mouth scanty urination oily skin,vata,3,True
bloating tension headache premature aging,pitta,3,True
low blood pressure irregular appetite epilepsy bloating noise sensitivity dizziness anxiety,vata,7,
sinus congestion craving dairy,kapha,2,
fever psoriasis sciatica,pitta,3,True
excess mucus excess saliva phlegm low body temperature oily hair slow speech hypothyroid excessive sleep,kapha,8,
stiffness rough skin fatigue convulsions fainting dry vagina hyperactivity talkativeness,vata,8,
congestion slow pulse obesity slow healing hypothyroid slow speech,kapha,6,
post nasal drip obesity heaviness edema low blood pressure large pores bronchitis,kapha,7,
migraine stye eczema aversion to heat,pitta,4,
concussion brain injury gunshot wound,no_match,2,
sluggishness loyal nature procrastination excess saliva regular appetite sweet taste mouth greed,kapha,7,
irregular menstruation impotence hyperactivity epilepsy irregular heartbeat palpitations,vata,6,
conjunctivitis slow digestion photophobia skin rashes hives excessive appetite excess mucus,pitta,7,True
slow pulse cold extremities craving sweets thick white coating tongue white discharge,kapha,5,
skin inflammation dry hair yellow complexion touch sensitivity red complexion,pitta,5,True
chemotherapy side effects typhoid bacteria,no_match,2,
boils sweating fever heartburn migraine,pitta,5,
diarrhea cracking joints muscle twitches fear inflammation thin body,vata,6,True
runny nose regular appetite edema sluggishness heaviness hypothyroid excess mucus,kapha,7,
worry irregular appetite rough skin hoarse voice,vata,4,
vomiting bile body odor jaundice bitter taste perfectionism irritability,pitta,6,
hypertension irritability loose stools,pitta,3,
talkativeness painful periods low blood pressure hoarse voice memory loss muscle twitches dry hair convulsions,vata,8,
loose stools irritability anger burning sensation,pitta,4,
